1278,Office Plaza Comercio e Servicos Ltda.
1279,Prisma Aluminio Industria e Comercio Ltda
1281,RAM2 Arquitetura Construcoes e Comercio S/A
1283,High Nutri Suplementos e Vitaminas Ltda.
1284,CLIQ Informatica Ltda
1292,Hellen Calcados e Confeccoes Ltda
1302,Oreas Empreendimentos Imobiliarios S.A
1307,Nova Prado Industria Comercio Importacao e Exportacao Ltda.
1311,Wta-avercap Producao De Celulose E Participacoes Ltda.
1321,Avercap Investimentos Imobiliarios Ltda.
1323,Avercap Balsa E Madeira Investimentos Imobiliarios Ltda.
1324,Agrainvest Investimentos Rurais E Partipacoes Ltda
1326,Click Total Comercio de Produtos Ltda.
1327,Lloyd Consultoria e Assessoria em Negocios Empresariais Ltda
1338,Ana Oliveira da Silva Roupas
1339,Ds Consultoria e Solucoes de Tecnologia Ltda.
1341,Jackalopy Servicos de Digitacao de Dados Ltda.
1342,ACLD Imperio Telecom Ltda
1345,Rob-Cor Prestacao de Servicos Medicos Ltda
1359,Empresa Nacional de Logistica Ltda
1361,Visao Energetica Engenharia Ltda.
1362,Kamila Mary Costa Gomes Franco 10013799690
1363,Intensiva Remocoes Terrestres Ltda
1364,Olimpia Investimentos em Educacao Ltda
1369,Instituto Observatorio da Vida
1373,Golden Eagle Prestacao de Serv.em Invest.e Consult Ltda
1381,PTG Participacoes Empreendimentos e Servicos Ltda
1382,Work Express Treinamento e Mercados  Ltda
1383,NapHill - Treinamentos de Alta Perfomance Ltda
1399,Enovis Surgical brasil Ltda
1403,Dicon Importacao e Exportacao Ltda
1406,Maxfx Comercio e Locacao de Equipamentos Ltda.
1407,Motoprest Servicos Ltda
1408,Enfermaster Servicos de Enfermagem Ltda
1409,Uttae Solucoes Empresariais Ltda
1412,Saint Carlo Promotora de Eventos e Festas Ltda.
1414,Srk Prestacao de Servicos Adm e Investimentos Ltda.
1415,Dobroc Servicos Administrativos Ltda.
1416,Instituto de Aprimoramentos Invictus
1430,Betel Equipamentos de Protecao Individual Ltda
1434,Axial Capital Assessoria E Treinamento Ltda
1438,HGA Serviços de Auxilio Empresarial Ltda
1445,29 Comunicacao Ltda
1454,Bash Participacoes Ltda
1455,Jolet Participacoes Ltda
1456,Harom Participacoes Ltda
1457,Galloway Capital Gestora de Recursos Ltda.
1458,Euroluce Comercio de Equipamentos de Iluminacao Ltda
1466,Nitrex do Brasil Ltda
1470,Expertise Representacoes Comerciais Ltda
1471,MLP Prestacao de Servicos Ltda
1473,Marelua Investimentos e Participacoes Ltda
1476,Sergal Galvanizacao Industria e Comercio Ltda
1482,ERG-Mobil Fabricacao de Maq.para Ind.Metalurgica Ltda
1483,FJS Comercio de Equipamentos de Iluminacao Ltda
1484,JMS Comercio de Equipamentos de Iluminacao Ltda.
1485,Cypress Design e Servicos Ltda
1486,Lumini Solucoes em Iluminacao Ltda
1489,RJS Comercio de Equipamentos de Ilumincação Ltda
1491,SDP Comercio de Equipamentos de Iluminacao Ltda.
1492,Trend Servicos Ltda
1493,Tueri Prestacao de Servicos Em Investimentos Ltda
1512,Stm-Sistema Brasil Ltda
1513,Sergal Manutencao de Maquinas e Equipamentos Ltda
