Banco;ID;Emp;Tipo;Regra;Descricao;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico
237;1281;9999;D;COM;PAGTO ELETRONICO TRIBUTO INTERNET --INSS/GPS;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO INTERNET --INSS/GPS
237;50;9999;D;COM;PAGTO ELETRONICO TRIBUTO INTERNET --P.M SAO PAULO/SP;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO INTERNET --P.M SAO PAULO/SP
237;6159;9999;D;COM;PAGTO ELETRONICO TRIBUTO INTERNET --PMSP SP;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO INTERNET --PMSP SP
237;4052;9999;D;COM;PAGTO ELETRONICO TRIBUTO INTERNET --SIMPLES NACIONAL;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO INTERNET --SIMPLES NACIONAL
237;11590;9999;D;COM;PAGTO ELETRONICO TRIBUTO NET EMPR LIC ELET;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO NET EMPR LIC ELET
237;11082;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-DARF;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-DARF
237;11081;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-ELETROPAULO;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-ELETROPAULO
237;11084;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-EMBRATEL;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-EMBRATEL
237;11080;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-FGTS/GRF;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-FGTS/GRF
237;11085;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-FGTS/GRRF;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-FGTS/GRRF
237;11086;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-PMSP;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-PMSP
237;11083;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-SIMPLES;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-SIMPLES
237;11079;9999;D;COM;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-TELEFONICA;1191201;;;#BCO;;;PAGTO ELETRONICO TRIBUTO PGIT - COD.BARRAS-TELEFONICA
237;1085;9999;D;COM;PAGTO PART LUCROS RESULT;1191201;;;#BCO;;;PAGTO PART LUCROS RESULT
237;7258;9999;D;COM;PAGUE FACIL BRADESCO RECARGA PRE PAGO;1191201;;;#BCO;;;PAGUE FACIL BRADESCO RECARGA PRE PAGO
237;4998;9999;D;COM;PARC CREDITO IMOBILIARIO;1191201;;;#BCO;;;PARC CREDITO IMOBILIARIO
237;742;9999;D;COM;PARCELA LEASING;1191201;;;#BCO;;;PARCELA LEASING
237;8;9999;D;COM;PARCELA OPER CREDITO CONTR;1191201;;;#BCO;;;PARCELA OPER CREDITO CONTR
237;12616;9999;D;COM;PARCELA OPER CREDITO LIQUID. CONTRATO;1191201;;;#BCO;;;PARCELA OPER CREDITO LIQUID. CONTRATO
237;62;9999;D;COM;PARCELA RESIDUAL LEASING;1191201;;;#BCO;;;PARCELA RESIDUAL LEASING
237;785;9999;D;COM;PARCELA RESIDUAL LEASING CONTR;1191201;;;#BCO;;;PARCELA RESIDUAL LEASING CONTR
237;3808;9999;D;COM;PARCELA RESIDUAL LEASING CONTR 01337106 PARC VRG 055;1191201;;;#BCO;;;PARCELA RESIDUAL LEASING CONTR 01337106 PARC VRG 055
237;618;9999;D;COM;PARCELA RESIDUAL LEASING CONTR 01340409 PARC VRG  013;1191201;;;#BCO;;;PARCELA RESIDUAL LEASING CONTR 01340409 PARC VRG  013
237;3809;9999;D;COM;PARCELA RESIDUAL LEASING CONTR 01341246 PARC VRG 053;1191201;;;#BCO;;;PARCELA RESIDUAL LEASING CONTR 01341246 PARC VRG 053
237;12617;9999;D;COM ;PARCELAMENTO DE DARF;1191201;;;#BCO;;;PARCELAMENTO DE DARF
237;12545;9999;D;COM;PARCELAMENTO DE DARF DEBITO ;1191201;;;#BCO;;;PARCELAMENTO DE DARF DEBITO 
237;12725;9999;D;COM;PARCELAMENTO DE DARF PARCELAMENTO DE DARF-218023;1191201;;;#BCO;;;PARCELAMENTO DE DARF PARCELAMENTO DE DARF-218023
237;12573;9999;D;COM;PARCELAMENTO DE DARF PARCELAMENTO DE DARF-60218;1191201;;;#BCO;;;PARCELAMENTO DE DARF PARCELAMENTO DE DARF-60218
237;18;9999;D;COM;PEND.TARIFAS;5713003;;;#BCO;;;PEND.TARIFAS
237;114;9999;D;COM;PENDENCIA EM MORA ENCARGO CONTR 3255560;5713003;;;#BCO;;;PENDENCIA EM MORA ENCARGO CONTR 3255560
237;113;9999;D;COM;PENDENCIA EM MORA IOF     CONTR 3255560;5713002;;;#BCO;;;PENDENCIA EM MORA IOF     CONTR 3255560
237;115;9999;D;COM;PENDENCIA EM MORA LIMITE/UTILIZ.;5715002;;;#BCO;;;PENDENCIA EM MORA LIMITE/UTILIZ.
237;57;9999;D;COM;PFOR;1191201;;;#BCO;;;PFOR
237;9;9999;D;COM;PGTO;1191201;;;#BCO;;;PGTO
237;12656;9999;D;COM;PGTO DESPESA CARTORARIA;5311155;;;#BCO;;;PGTO DESPESA CARTORARIA
237;74;9999;C;COM;PGTO DEVOLV BCO CEDENTE;#BCO;;;1191101;;;PGTO DEVOLV BCO CEDENTE
